HourDK,TotalWind,GrossCon,PerPower 
2018-06-30 23:00,893.418709,3010.93348,30%
2018-06-30 22:00,729.246839,3107.359771,23%
2018-06-30 21:00,722.855535,3146.693073,23%
2018-06-30 20:00,822.558339,3272.895308,25%
2018-06-30 19:00,937.282387,3382.17562,28%
2018-06-30 18:00,893.296099,3503.558609,25%
2018-06-30 17:00,837.924044,3475.474528,24%
2018-06-30 16:00,718.01279,3352.245126,21%
2018-06-30 15:00,630.959542,3329.633607,19%
2018-06-30 14:00,551.713262,3376.888201,16%
2018-06-30 13:00,452.032641,3440.900171,13%
2018-06-30 12:00,357.478343,3472.23885,10%
2018-06-30 11:00,280.142661,3532.34862,8%
2018-06-30 10:00,177.782482,3534.500344,5%
2018-06-30 9:00,115.175448,3448.824604,3%
2018-06-30 8:00,125.870351,3278.74965,4%
2018-06-30 7:00,226.432995,3000.287901,8%
2018-06-30 6:00,458.733661,2735.149124,17%
2018-06-30 5:00,551.369497,2577.830002,21%
2018-06-30 4:00,524.229922,2617.96388,20%
2018-06-30 3:00,597.065732,2702.505301,22%
2018-06-30 2:00,745.738708,2728.482802,27%
2018-06-30 1:00,777.363823,2794.247894,28%
2018-06-30 0:00,882.417997,2927.186069,30%
